source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
,-71.2316830,46.8201990,Coop.Hab. Chauveau ,Co-operative Housing,,,,"95 Rue de la Pointe-aux-Lièvres, Québec, QC G1K 5Y6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chauveau.html,
,-71.2116655,46.8119437,Coop.Hab. Chemin ,Co-operative Housing,,,,"138 Rue Sainte-Anne, Québec, QC G1R 3Y3, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chemin.html,
,-71.2498821,46.8086650,Coop.Hab. Chez-Nous ,Co-operative Housing,,,,"807 Rue Saint-Vallier O, Québec, QC G1N 1E3, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chez_nous.html,
,-71.2206662,46.8096879,Coop.Hab. Chloé ,Co-operative Housing,,,,"537 Rue Saint-Jean, Québec, QC G1R 1P5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chloe.html,
,-71.2292875,46.8283689,Coop.Hab. Clarisse ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_clarisse.html,
,-71.2245750,46.8164648,Coop.Hab. Colombe de Québec ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_colombe_de_quebec.html,
,-71.2202065,46.8105117,Coop.Hab. d'Aiguillon ,Co-operative Housing,,,,"595 Rue D'Aiguillon, Québec, QC G1R 1M4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_daiguillon.html,
,-71.2316830,46.8201990,Coop.Hab. de l'Arc ,Co-operative Housing,,,,"95 Rue de la Pointe-aux-Lièvres, Québec, QC G1K 5Y6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_de_larc.html,
,-71.3393276,46.8566670,Coop.Hab. De Lafontaine ,Co-operative Housing,,,,"2425 Boulevard Bastien, Québec, QC G2B 1B3, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_de_lafontaine.html,
,-71.2832909,46.8803058,Coop.Hab. des Cyprès ,Co-operative Housing,,,,"4224 Rue des Cyprès, Québec, QC G1G 1S5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_des_cypres.html,
,-71.1897118,46.8538495,Coop.Hab. Échouerie ,Co-operative Housing,,,,"567 Avenue du Fleuve, Québec, QC G1E 3N1, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_echouerie.html,
,-71.2189810,46.8154393,Coop.Hab. Ernest Chapleau ,Co-operative Housing,,,,"786 Boulevard Charest E, Québec, QC G1K 3J7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ernest_chapleau.html,
,-71.3346963,46.8262782,Coop.Hab. Escargot ,Co-operative Housing,,,,"6225 Avenue Banville, Québec, QC G2C 1Z6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_escargot.html,
,-71.3023923,46.8103023,Coop.Hab. Espoir ,Co-operative Housing,,,,"2580 Rue du Rhin, Québec, QC G1P 2Z8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_espoir.html,
,-73.6729464,45.4680498,Coop.Hab. Etoile du Nord ,Co-operative Housing,,,,"Côte Saint-Luc, QC, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_etoile_du_nord.html,
,-71.2245750,46.8164648,Coop.Hab. Eveil de Québec ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_eveil_de_quebec.html,
,-71.2292875,46.8283689,Coop.Hab. Faisan Bleu ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_faisan_bleu.html,
,-71.2646966,46.7656443,Coop.Hab. Falaise Sillery ,Co-operative Housing,,,,"1735 Côte à Gignac, Québec, QC G1T 2M9, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_falaise_sillery.html,
,-71.2316830,46.8201990,Coop.Hab. Faux-Bourg de Québec ,Co-operative Housing,,,,"95 Rue de la Pointe-aux-Lièvres, Québec, QC G1K 5Y6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_faux_bourg_de_quebec.html,
